DATE,HOUR,DAY_NAME,TIME_OF_DAY,CASUAL_USERS,REGISTERED_USERS,TOTAL_RENTALS,CASUAL_PERCENTAGE
2011-01-01,0,Saturday,Early Morning,3,13,16,18.75
2011-01-01,1,Saturday,Early Morning,8,32,40,20.0
2011-01-01,2,Saturday,Early Morning,5,27,32,15.63
2011-01-01,3,Saturday,Early Morning,3,10,13,23.08
2011-01-01,4,Saturday,Early Morning,0,1,1,0.0
2011-01-01,5,Saturday,Early Morning,0,1,1,0.0
2011-01-01,6,Saturday,Morning Rush,2,0,2,100.0
2011-01-01,7,Saturday,Morning Rush,1,2,3,33.33
2011-01-01,8,Saturday,Morning Rush,1,7,8,12.5
2011-01-01,9,Saturday,Morning Rush,8,6,14,57.14
2011-01-01,10,Saturday,Mid-Day,12,24,36,33.33
2011-01-01,11,Saturday,Mid-Day,26,30,56,46.43
2011-01-01,12,Saturday,Mid-Day,29,55,84,34.52
2011-01-01,13,Saturday,Mid-Day,47,47,94,50.0
2011-01-01,14,Saturday,Mid-Day,35,71,106,33.02
2011-01-01,15,Saturday,Mid-Day,40,70,110,36.36
2011-01-01,16,Saturday,Evening Rush,41,52,93,44.09
2011-01-01,17,Saturday,Evening Rush,15,52,67,22.39
2011-01-01,18,Saturday,Evening Rush,9,26,35,25.71
2011-01-01,19,Saturday,Evening Rush,6,31,37,16.22
2011-01-01,20,Saturday,Night,11,25,36,30.56
2011-01-01,21,Saturday,Night,3,31,34,8.82
2011-01-01,22,Saturday,Night,11,17,28,39.29
2011-01-01,23,Saturday,Night,15,24,39,38.46
2011-01-02,0,Sunday,Early Morning,4,13,17,23.53
2011-01-02,1,Sunday,Early Morning,1,16,17,5.88
2011-01-02,2,Sunday,Early Morning,1,8,9,11.11
2011-01-02,3,Sunday,Early Morning,2,4,6,33.33
2011-01-02,4,Sunday,Early Morning,2,1,3,66.67
2011-01-02,6,Sunday,Morning Rush,0,2,2,0.0
2011-01-02,7,Sunday,Morning Rush,0,1,1,0.0
2011-01-02,8,Sunday,Morning Rush,0,8,8,0.0
2011-01-02,9,Sunday,Morning Rush,1,19,20,5.0
2011-01-02,10,Sunday,Mid-Day,7,46,53,13.21
2011-01-02,11,Sunday,Mid-Day,16,54,70,22.86
2011-01-02,12,Sunday,Mid-Day,20,73,93,21.51
2011-01-02,13,Sunday,Mid-Day,11,64,75,14.67
2011-01-02,14,Sunday,Mid-Day,4,55,59,6.78
2011-01-02,15,Sunday,Mid-Day,19,55,74,25.68
2011-01-02,16,Sunday,Evening Rush,9,67,76,11.84
2011-01-02,17,Sunday,Evening Rush,7,58,65,10.77
2011-01-02,18,Sunday,Evening Rush,10,43,53,18.87
2011-01-02,19,Sunday,Evening Rush,1,29,30,3.33
2011-01-02,20,Sunday,Night,5,17,22,22.73
2011-01-02,21,Sunday,Night,11,20,31,35.48
2011-01-02,22,Sunday,Night,0,9,9,0.0
2011-01-02,23,Sunday,Night,0,8,8,0.0
2011-01-03,0,Monday,Early Morning,0,5,5,0.0
2011-01-03,1,Monday,Early Morning,0,2,2,0.0
2011-01-03,4,Monday,Early Morning,0,1,1,0.0
2011-01-03,5,Monday,Early Morning,0,3,3,0.0
2011-01-03,6,Monday,Morning Rush,0,30,30,0.0
2011-01-03,7,Monday,Morning Rush,1,63,64,1.56
2011-01-03,8,Monday,Morning Rush,1,153,154,0.65
2011-01-03,9,Monday,Morning Rush,7,81,88,7.95
2011-01-03,10,Monday,Mid-Day,11,33,44,25.0
2011-01-03,11,Monday,Mid-Day,10,41,51,19.61
2011-01-03,12,Monday,Mid-Day,13,48,61,21.31
2011-01-03,13,Monday,Mid-Day,8,53,61,13.11
2011-01-03,14,Monday,Mid-Day,11,66,77,14.29
2011-01-03,15,Monday,Mid-Day,14,58,72,19.44
2011-01-03,16,Monday,Evening Rush,9,67,76,11.84
2011-01-03,17,Monday,Evening Rush,11,146,157,7.01
2011-01-03,18,Monday,Evening Rush,9,148,157,5.73
2011-01-03,19,Monday,Evening Rush,8,102,110,7.27
2011-01-03,20,Monday,Night,3,49,52,5.77
2011-01-03,21,Monday,Night,3,49,52,5.77
2011-01-03,22,Monday,Night,0,20,20,0.0
2011-01-03,23,Monday,Night,1,11,12,8.33
2011-01-04,0,Tuesday,Early Morning,0,5,5,0.0
2011-01-04,1,Tuesday,Early Morning,0,2,2,0.0
2011-01-04,2,Tuesday,Early Morning,0,1,1,0.0
2011-01-04,4,Tuesday,Early Morning,0,2,2,0.0
2011-01-04,5,Tuesday,Early Morning,0,4,4,0.0
2011-01-04,6,Tuesday,Morning Rush,0,36,36,0.0
2011-01-04,7,Tuesday,Morning Rush,2,92,94,2.13
2011-01-04,8,Tuesday,Morning Rush,2,177,179,1.12
2011-01-04,9,Tuesday,Morning Rush,2,98,100,2.0
2011-01-04,10,Tuesday,Mid-Day,5,37,42,11.9
2011-01-04,11,Tuesday,Mid-Day,7,50,57,12.28
2011-01-04,12,Tuesday,Mid-Day,12,66,78,15.38
2011-01-04,13,Tuesday,Mid-Day,18,79,97,18.56
2011-01-04,14,Tuesday,Mid-Day,9,54,63,14.29
2011-01-04,15,Tuesday,Mid-Day,17,48,65,26.15
2011-01-04,16,Tuesday,Evening Rush,15,68,83,18.07
2011-01-04,17,Tuesday,Evening Rush,10,202,212,4.72
2011-01-04,18,Tuesday,Evening Rush,3,179,182,1.65
2011-01-04,19,Tuesday,Evening Rush,2,110,112,1.79
2011-01-04,20,Tuesday,Night,1,53,54,1.85
2011-01-04,21,Tuesday,Night,0,48,48,0.0
2011-01-04,22,Tuesday,Night,1,34,35,2.86
2011-01-04,23,Tuesday,Night,2,9,11,18.18
2011-01-05,0,Wednesday,Early Morning,0,6,6,0.0
2011-01-05,1,Wednesday,Early Morning,0,6,6,0.0
2011-01-05,2,Wednesday,Early Morning,0,2,2,0.0
2011-01-05,4,Wednesday,Early Morning,0,2,2,0.0
2011-01-05,5,Wednesday,Early Morning,0,3,3,0.0
2011-01-05,6,Wednesday,Morning Rush,0,33,33,0.0
2011-01-05,7,Wednesday,Morning Rush,1,87,88,1.14
2011-01-05,8,Wednesday,Morning Rush,3,192,195,1.54
2011-01-05,9,Wednesday,Morning Rush,6,109,115,5.22
2011-01-05,10,Wednesday,Mid-Day,4,53,57,7.02
2011-01-05,11,Wednesday,Mid-Day,12,34,46,26.09
2011-01-05,12,Wednesday,Mid-Day,5,74,79,6.33
2011-01-05,13,Wednesday,Mid-Day,6,65,71,8.45
2011-01-05,14,Wednesday,Mid-Day,10,52,62,16.13
2011-01-05,15,Wednesday,Mid-Day,7,55,62,11.29
2011-01-05,16,Wednesday,Evening Rush,4,85,89,4.49
2011-01-05,17,Wednesday,Evening Rush,4,186,190,2.11
2011-01-05,18,Wednesday,Evening Rush,3,166,169,1.78
2011-01-05,19,Wednesday,Evening Rush,5,127,132,3.79
